Recipe,Ingredients,Directions
Recipe 11,"125g, Cumin seeds, Eggs, Allpurpose flour, Cumin seeds","-In a bowl,add butter,sugar & beat well until creamy.
-Add pink salt,cumin seeds,baking powder,eggs & beat well.
-Add all-purpose flour & mix gently,gather the dough & knead dough with help of your palm until smooth dough is formed.
-Divide the dough into 2 portions,take one portion & make a smooth ball.
-Spread clean plastic sheet over it & roll out with the help of rolling pin.
-Sprinkle cumin seeds & roll gently.
-Cut round dough with the help of 2-inch round cutter (coated with all-purpose flour) & place them in a baking tray lined with butter paper (makes 35-36).
Option # 1: Oven Baking
-Bake in preheated oven at 170C for 25 minutes (on both grills).
Option # 2: Pot Baking
-In a pot,place steam stand/wire rack,cover & preheat on medium flame for 10 minutes.
-Bake in pot on low flame for 18-20 minutes."
Recipe 12,"Salt, Black pepper, Ginger garlic, Vinegar, Egg, Egg, Black pepper","-In a pot,add chicken,salt,black pepper crushed,chicken stock cube,ginger garlic crushed,water,mix well & cover,bring it to boil & cook on low flame for 10-15 minutes.
-Take out chicken pieces,shred with the help of fork & remove bones.
-In prepared stock,add shredded chicken,vinegar,chilli sauce,soy sauce,salt (if required) mix well & cook for 2-3 minutes.
-In cornflour,add water & mix well.
-Now add dissolved cornflour,mix well & cook until it thickens.
-Add whisked egg & stir gently.
-Serve with boiled egg,black pepper crushed,chilli sauce & serve!"
Recipe 13,"Garlic, Red chilli powder, Salt, Black pepper, Onion, Capsicum, Stock, room temperature, Fresh coriander, Allpurpose flour, Salt, Eggs, Red chilli, Fresh coriander","Prepare Creamy Chicken Filling:
-In a wok,add cooking oil,garlic & mix well.
-Add chicken & mix well until it changes color.
-Add soy sauce,lemon juice,red chilli powder,salt,black pepper crushed,dried oregano,mix well & cook on medium flame for 2-3 minutes.
-Add onion,capsicum & mix well.
-Add stock,cream,mix well & cook for 2-3 minutes.
-Add cheddar cheese,fresh coriander,mix well until cheese melts & set aside.
Prepare Crepes:
-In a bowl,add all-purpose flour,salt,sugar,eggs,milk,water,cooking oil & mix well,blend well & let it rest for 15 minutes.
-Grease 9” inches frying pan with cooking oil,add ½ cup of prepared batter,spread evenly & cook on low flame from both sides until light golden.
Assembling:
-On a small plate,add mozzarella cheese & prepared crepe.
-Add prepared creamy chicken filling in the center of crepe & fold all sides.
-Grease griddle with cooking oil,place stuffed crepes,sprinkle dried oregano,red chilli crushed,cover & cook on low flame until cheese melts (1-2 minutes).
-Sprinkle fresh coriander & serve with chilli garlic sauce (makes 9-10)."
Recipe 14,"Spinach, Potatoes, Ginger garlic paste, Cumin powder, Red chilli, Green chilli, Onion, Turmeric powder, Red chilli powder, Black pepper powder, Cumin powder, Yogurt, Rice","Prepare Palak Cheese Kabab:
-In boiling water,add spinach & blanch on low flame for 3 minutes.
-Take out in a bowl of chilled water & let it rest for few minutes.
-In the same boiling water,add broccoli & blanch for 5 minutes.
-Take out in the same bowl of chilled water & let it rest for few minutes then strain,chop roughly & set aside.
-In a bowl,add potatoes & mash well with the help of masher.
-Add spinach & broccoli mixture,ginger garlic paste,cumin powder,red chilli crushed,green chilli,pink salt,breadcrumbs,lemon juice & mix until well combined.
-With the help of greased hands,take a small quantity of mixture & spread on your palm.
-Add mozzarella cheese & make kababs of the equal sizes.
-In a frying pan,heat cooking oil & fry kababs on medium flame on both sides until golden brown. (makes 10).
Prepare Masala Rice:
-In a wok,add cooking oil & heat it.
-Add onion & fry until light golden.
-Add turmeric powder,chicken powder,red chilli powder,pink salt,black pepper powder,cumin powder,yogurt,mix well & cook on medium flame for 2 minutes.
-Add boiled rice & give it a good mix.
-Serve masala rice with palak cheese kabab,salad & yogurt raita."
Recipe 15,"Cinnamon stick, Star anise, Black cardamom, Coriander seeds, Cumin seeds, Fennel seeds, Tea leaves, Bay leaves, Tomatoes, Green chillies, Mint leaves, Fresh coriander, Sesame seeds, Onion, Garlic, Cumin seeds, Coriander powder, Kashmiri red chilli, Turmeric powder, Black lentil gram, soaked for 2 hours, Fresh coriander, Fresh coriander, Ginger","-In a muslin cloth,add cinnamon stick,star anise,black cardamom,coriander seeds,cumin seeds, fennel seeds,tea leaves,bay leaves & tie to make a boquete garni (potli) & set aside.
-In a jug,add tomatoes,green chillies,mint leaves,fresh coriander,sesame seeds & blend well to make a thick paste & set aside.
-In a pot,add cooking oil,onion,garlic,cumin seeds & fry until light golden.
-Add blended tomato paste & mix well.
-Add coriander powder,Kashmiri red chilli powder,turmeric powder,pink salt,garam masala powder, mix well & cook on medium flame until oil separates (2-3 minutes).
-Add black lentil gram,mix well & cook for 4-5 minutes.
-Add water & mix well.
-Add prepared boquete garni,stir gently & bring it to boil,cover & cook on low flame until tender (35-40 minutes).
-Take out boquete garni & discard it.
-Add fresh coriander & mix well,turn off the flame,cover & let it rest for 5 minutes.
-Garnish with fresh coriander,ginger,lemon slices & serve with boiled rice!"
Recipe 16,"Butter, Miilk, Allpurpose flour, Eggs, Caster sugar","-In a bowl,add butter,milk & microwave for 40-50 seconds then mix well.
-On a bowl,place sifter,gradually add all-purpose flour while mixing.
-Break eggs in a bowl & separate egg yolk from it.
-Add egg yolks in the melted butter bowl & whisk well.
-Add vanilla essence,whisk well & set aside.
-In egg whites,add lemon juice & beat well.
-Gradually add caster sugar & beat until stiff peaks form.
-Gradually add 1/3 of the meringue to the yolk mixture & fold with spatula.
-Now add the yolk mixture to the remaining meringue & mix gently (avoid over mixing).
-Place the loaf pan in the larger tray.
-Pour batter to loaf pan lined with butter paper & tap few times.
-Pour hot water into the outer tray, about a quarter to half way up the sides of the square pan.
-Bake in preheated oven at 150C for 50 minutes (on both grills).
-Let the castella cake cool for a moment then remove it from the cake pan by lifting. Peel the parchment paper from the cake & slice the cake into pieces & serve!"
Recipe 17,"Allpurpose flour, Black pepper powder, Garlic powder, Salt, Butter, Butter, Allpurpose flour, Chicken stock, Garlic powder, Black pepper, Nutmeg powder, Salt, Boiled with salt","Prepare Tuscan Chicken:
-In a bowl,add all-purpose flour,paprika powder,onion powder,Italian herbs,black pepper powder, garlic powder,salt,dried parsley,mix well & coat chicken fillets with dry mixture.
-In a cast iron pan,heat cooking oil,add chicken fillets,butter & cook on low flame from both sides for 8-10 minutes.
-Let it rest for 5 minutes,cut into slices & set aside.
Prepare Mac n Cheese:
-In a wok,add butter & let it melt.
-Add all-purpose flour & sauté for a minute.
-Add milk & whisk well.
-Add chicken stock,garlic powder,Italian herbs,black pepper crushed,nutmeg powder,salt,mustard paste,mix well & cook until it thickens.
-Add cheddar cheese,mix well & cook on low flame until cheese melts.
-Add mozzarella cheese,macaroni & give it a good mix.
-Serve mac & cheese with tuscan style chicken & garnish with fresh parsley!"
Recipe 18,"Yogurt, Ginger garlic paste, Kashmiri red chilli, Turmeric powder, Coriander powder, Red chilli powder, Dried fenugreek leaves, Charcoal, Cumin seeds, Cloves, Bay leaf, Garlic, Ginger, Tomatoes, Onion, Green chillies, Cashew nuts, Dried red chillies, Fresh coriander, room temperature, Dried fenugreek leaves, Fresh coriander","-In a bowl,add yogurt,ginger garlic paste,lemon juice,Kashmiri red chilli powder,turmeric powder, coriander powder,red chilli powder,pink salt,dried fenugreek leaves & whisk well.
-Add chicken & mix well,cover & marinate for 30 minutes.
-In a wok,add cooking oil,marinated chicken,mix well & cook on medium flame until chicken is tender (10-12 minutes) then cook on high flame until it dries up.
-Give coal smoke for 2 minutes & set aside.
-In a saucepan,add cooking oil,cumin seeds,cinnamon sticks,cloves,bay leaf,garlic,ginger & sauté for a minute.
-Add tomatoes,onion,green chillies,cashew nuts,dried red chillies,fresh coriander,pink salt,water & mix well,cover & cook on medium flame for 8-10 minutes.
-Turn off the flame,blend well & set aside.
-In the same wok,add butter & let it melt.
-Add blended mixture through sifter,mix well & cook on medium flame for 2-3 minutes,cover & cook on low flame for 12-15 minutes.
-Turn off the flame,add cream & mix well.
-Turn on the flame,add cooked chicken,mix well & cook on low flame for 4-5 minutes.
-Add dried fenugreek leaves,cover & simmer on low flame for a minute.
-Serve butter chicken with boiled rice,garlic naan & garnish with fresh coriander,butter & cream."
Recipe 19,"Eggs, Caster sugar, Butter, room temperature, Allpurpose Flour, Butter","-In a bowl,add eggs & whisk well.
-Add milk,caster sugar,baking powder,himalayan pink salt,vanilla essence,butter,cream & whisk well.
-Gradually add all-purpose flour & whisk continuously until well combined & transfer to a squeeze bottle.
-Heat non-stick frying pan & grease with cooking oil.
-Add mixture in frying pan through squeeze bottle & cook on low flame until golden (1-2 minutes each side) (makes 5).
-Drizzle cream in between pancakes,add butter,drizzle maple syrup & serve!"
Recipe 20,"White flour, Gram flour, Turmeric powder, Clarified butter, Coriander seeds, Carom seeds, Cumin seeds, Red chilli powder, Fresh fenugreek leaves, Dill, Mint leaves, Fresh coriander, Garlic, Green chilli, Clarified butter","Prepare Dough:
-In a bowl,add white flour,gram flour,pink salt,turmeric powder & mix well.
-Add clarified butter & mix well.
-Gradually add warm water,mix well & knead until dough is formed,cover & let it rest for 20 minutes.
Prepare Spice Mix:
-In a bottle,add coriander seeds,pink salt,carom seeds,chaat masala,cumin seeds,red chilli powder & cover,shake well & set aside.
Prepare Green Herb Mix:
-In a bowl,add fresh fenugreek leaves,dill,mint leaves,fresh coriander,garlic & green chillies,mix well & set aside.
-Knead dough until smooth.
-Take a small dough (80g),sprinkle dry flour & roll out with the help of rolling pin.
-Take another rolled dough,sprinkle dried spice mix,add prepared green herb mix,sprinkle dried spice mix & cover with another rolled dough.
-Press gently to seal the edges & roll out with rolling pin.
-Cut 1-inch-thick strips with the help of the cutter & roll them like a pinwheel.
-Sprinkle dry flour & roll out with the help of rolling pin.
-On a heated griddle,add clarified butter,let it melt & fry paratha on medium flame from both sides until golden & crispy (makes 4)."
Recipe 21,"Cumin seeds, Coriander seeds, Black pepper powder, Dried fenugreek leaves, Mace powder, Salt, Nutmeg powder, Yogurt, Gram flour, Ginger garlic paste, Garlic, Green chillies, Fresh coriander","Prepare Tawa Malai Chicken Spice Mix:
-In a bowl,add cumin seeds,coriander seeds,black pepper powder,chicken powder,dried fenugreek leaves,mace powder,garam masala powder,salt,nutmeg powder & mix well.Tawa malai chicken spice mix is ready!
-It can be stored for up to 3 months in airtight jar.
-In a jug,add yogurt,cream,gram flour,hot sauce,prepared tawa malai spice mix (reserve 2 tbs of prepared spice mix for later use),whisk until well combined & set aside.
-In a bowl,add chicken,reserved spice mix,ginger garlic paste,soy sauce,half quantity of prepared marinade & mix well.
-On a heated griddle,add cooking oil,garlic & mix well.
-Add marinated chicken,cover & cook on medium flame for 4-5 minutes.
-Turn sides,add reserved marinade,green chillies,fresh coriander,lemon slices,cover & cook on low flame for 10-15 minutes.
-Turn sides,add reserved marinade,green chillies,fresh coriander,cover & cook on low flame for 2-3 minutes.
-Garnish with lemon wedges,fresh coriander & serve!"
Recipe 22,"Button red chillies, Coriander seeds, Mace, Cloves, Cumin seeds, Carom seeds, Nutmeg, Onion, Dried mango powder, Black salt, Garlic powder, Citric acid, room temperature, Yogurt, room temperature, Salt, Yogurt, Green chilli, Ginger garlic paste, Turmeric powder, Kashmiri red chilli, Salt, Butter","Prepare BBQ Boti Masala:
-In a spice mixer,add button red chillies,coriander seeds,mace,cloves,cumin seeds,carom seeds, nutmeg,fried onion,dried mango powder,black salt,garlic powder,citric acid & grind well.BBQ Boti masala is ready!
Prepare Cream Yogurt Sauce:
-In a bowl,add cream,yogurt,milk,salt,whisk well & set aside.
Prepare BBQ Boti:
-In a bowl,add chicken,yogurt,lemon juice,green chilli paste,ginger garlic paste,turmeric powder, Kashmiri red chilli powder,salt,2 tbs of prepared bbq boti masala & mix well,cover & marinate for 4 hours or overnight in refrigerator.
-Thread marinated chicken on metal skewers.
-Put skewers on burning charcoal,bbq from all sides until done & brush oil in between.
-Remove bbq chicken from skewers in a bowl,sprinkle prepared bbq boti masala & toss well.
-Drizzle prepared cream yogurt sauce & mix gently.
-In a small saucepan,add butter & let it melt.
-Drizzle melted butter & serve with chapati & onion rings!"
Recipe 23,"Milk, Egg yolks, Caster sugar, Allpurpose flour, Salt, Egg whites","Prepare Waffles:
-In a bowl,add cooking oil,milk,egg yolks,lemon juice,vanilla essence,caster sugar & whisk well.
-Place a sifter over the bowl,add all-purpose flour,cornflour,baking soda,baking powder,salt & sift well then whisk until well combined.
-In another bowl,add egg whites,lemon juice & whisk well until egg whites are foamy (3-4 minutes).
-Add whipped egg whites in the mixture bowl & fold gently to combine.
-Preheat waffle maker & grease with cooking oil.
-Pour 1/3 Cup of prepared waffle batter evenly on waffle iron,close the lid & cook for 5-6 minutes (makes 6-8).
Prepare Butter Bombs:
-Take a spoonful of butter & apply a layer of it in a round silicon molds & freeze for 30 minutes.
-When your molds have set,carefully pop them out & fill it with fruits of your choice.
-Take one half of the sphere & place it on the other that holds the filling & seal the joined with spoon.Butter bombs are ready!
-On waffles,sprinkle sugar & drizzle chocolate syrup.
-Place prepared butter bomb on waffles,drizzle hot maple syrup & serve!"
Recipe 24,"Eggs, Milk, Caster sugar, Allpurpose flour, Butter, room temperature","Prepare Pancake Batter:
-In a bowl,add eggs,honey,vanilla essence,milk,caster sugar & whisk well until sugar is dissolved.
-Add all-purpose flour,baking powder,melted butter & whisk until well combined.
-Grease non-stick frying pan with cooking oil,pour ¼ cup of prepared batter & cook on low flame until bubbles appear on the surface,flip & cook until done (makes 6).
Prepare Chocolate Filling:
-In a bowl,add compound chocolate,cream & microwave for 1 minute then mix until well combined.
-Add mixed nuts & mix well,cover with cling film & refrigerate for 15-20 minutes then mix well.
-Top one pancake with 2 tbs of prepared chocolate filling then cover with a second pancake & gently press to seal the edges.
-Cut & serve!"
Recipe 25,"Clarified butter, Allpurpose flour, Gram flour, Semolina, Cardamom powder, Almonds, Almond, Egg yolk, Milk","-In a bowl,add clarified butter,sugar & beat well until creamy.
-Place a sifter on bowl,add all-purpose flour,gram flour,semolina,pink salt,cardamom powder,baking powder & sift together.
-Mix well until it crumbles & knead until dough is formed.
-Add almonds & mix well,cover with cling film & let it rest for 15-20 minutes.
-Take a small quantity of mixture (40g),make a ball & place an almond on top than press gently.
-In a bowl,add egg yolk,milk & mix well.
-Apply egg yolk mixture on top with the help of the brush (makes 9).
Option no 1: In Air fryer
-Air fry in preheated air fryer at 140C for 14-15 minutes.
Option no 2: Baking
-Bake in preheated oven at 180C for 25 minutes (on both grills).
-Let them cool at room temperature for 30 minutes.
-Can be stored in an airtight container for up to 1 month."
Recipe 26,"Dried pomegranate seeds, Nutmeg, Cloves, Mace, Cumin seeds, Coriander seeds, Red chilli, Garlic powder, Black salt, Dried mango powder, Salt, Citric acid, Kashmiri red chilli, Carom seeds, Yogurt, Ginger garlic paste, Salt, Orange food color","Prepare Patakha Spice Mix:
-In a spice mixer,add dried pomegranate seeds,nutmeg,cloves,mace,cumin seeds,coriander seeds & grind well.
-Take out in a bowl,add red chilli crushed,garlic powder,black salt,dried mango powder,salt,citric acid, Kashmiri red chilli powder,carom seeds & mix well.Patakha spice mix is ready!
-Pat dry chicken with the help of kitchen tissue paper.
-Make deep cuts in whole chicken from both sides & set aside.
-In a bowl,add yogurt,chilli sauce,soy sauce,ginger garlic paste,salt,lemon juice,orange food color, cornflour,half quantity of prepared Patakha spice mix & whisk until well combined.
-Add whole chicken,rub well & marinate for 6-8 hours or overnight in refrigerator.
-In a wok,heat cooking oil & fry marinated chicken on low flame from both sides until golden & pour hot oil in between over chicken (approx. 10 minutes).
-Takeout on a grill & let it rest for 10-20 minutes.
-Fry chicken again on medium flame until golden brown & crispy (8-10 minutes).
-Fry remaining spice mix for 8-10 seconds.
-Serve patakha chicken with fried patakha spice mix,yogurt raita,tomato chutney & onion slices!"
Recipe 27,"Garlic powder, Black pepper powder, Salt, White pepper powder, Butter, Onion, Carrot, Allpurpose flour, Chicken stock, 1 stock cube  2 Cups hot water, room temperature, optional, Spring onion, Allpurpose flour, Eggs","Prepare Cajun Seasoning:
-In a bowl,add paprika powder,garlic powder,black pepper powder,salt,dried thyme,onion powder, cayenne powder,white pepper powder,dried oregano & mix well.Cajun seasoning is ready!
-In a wok,add butter,cooking oil & let it melt.
-Add onion & sauté until translucent.
-Add carrot,corn kernels & mix well.
-Add chicken,prepared cajun seasoning (reserve 1 tbs for later use) & mix well.
-Add all-purpose flour,mix well & cook for a minute.
-Add chicken stock,mix well & cook on low flame until it thickens.
-Turn off the flame,add cream & mix well.
-Turn on the flame & cook on low flame for 2-3 minutes.
-Add cheddar cheese,spring onion leaves,mix well & cook until cheese melts.
-Let it cool at room temperature & refrigerate for 15 minutes.
-Grease hands with cooking oil,take a small quantity of mixture & make croquette of equal sizes.
-Add reserved cajun seasoning in breadcrumbs & mix well.
-Coat croquettes with all-purpose flour then dip in whisked egg & coat with breadcrumbs then again dip in whisked egg & coat with breadcrumbs.
-Can be stored in an airtight container for up to 2 weeks in freezer.
-In a wok,heat cooking oil & fry on medium flame until golden brown (makes 25-26)."
Recipe 28,"Milk, if required, Peanuts","Prepare Caramel Sauce:
-In a frying pan,add sugar,water & cook on very low flame until sugar is caramelized & turns brown and gently stir pan few times in between to mix.
-Add butter & mix well.
-Turn off the flame,add cream & mix well.
-Let it cool & transfer to a piping bag.
Prepare Cookies Mixture:
-In a bowl,add compound chocolate,butter & microwave for 1 minute then mix well & set aside.
-In a chopper,add marie biscuits & chop well.
-In a bowl,add biscuits crumbs,cocoa powder & mix well.
-Add melted chocolate & mix until well combined.
-Add milk & mix well.
-Take a small quantity of mixture (30g) & make balls of equal sizes then coat with chopped peanuts.
-Place the ball on a clean surface & with the help of 2-inch cookie cutter,gently press the cookie & make a hole in the center with the back of spoon.
-Now carefully remove the cookie cutter,add prepared caramel sauce & melted chocolate in the hole & refrigerate for 30 minutes & serve (makes 12-14)!"
Recipe 29,"Allpurpose flour, Instant yeast, Salt, Garlic, Ginger, Star anise, Bay leaves, Cinnamon stick, Salt, Rock sugar, Spring onion, Spring onion, Fresh coriander","Prepare Bread:
-In a bowl,add all-purpose flour,baking soda,instant yeast,salt,sugar & mix well.
-Gradually add warm water,cooking oil & mix well.
-Add remaining warm water,mix well & knead until dough is formed.
-Grease with cooking oil,cover & let it rest for 1 hour (warm place).
-Knead dough until smooth,take a small dough (100g) & make a ball,cover & let it rest for 15 minutes.
-Grease hands with oil,press gently & roll out with the help of rolling pin (5-inches).
-Grease griddle with oil,place pita,cover & cook on low flame until light golden (3-4 minutes each side).
Prepare Chicken Filling:
-In a saucepan,add cooking oil,chicken & mix well until it changes color.
-Add water,dark soy sauce,light soy sauce,garlic,ginger,star anise,bay leaves,cinnamon stick,Sichuan peppercorns,salt,rock sugar,spring onion leaves,mix well & bring it to boil,cover & cook on low flame until chicken is tender (15-20 minutes) & cook until ½ cup water is left.
-Let it cool.
-On a clean cutting board,chop jalapeno,spring onion leaves & fresh coriander.
-Place 2 to 3 cooked chicken pieces & roughly chops everything altogether.
-Add 1-2 tbs of remaining stock & chop well.
-Cut bread from center making a pocket & stuffed with prepared filling.
-Add 1 tbs of remaining chicken stock on filling & serve (makes 5-6)!"
